kepid,pl_name,ProbeScore,Score_Detection,Score_Habitability,Score_Type,Score_Radio,pl_rade,pl_bmasse,pl_eqt,pl_dens,rank
8609450.0,Kepler-282 b,0.685,0.5,0.6,1.0,1.0,1.01,1.01,817.0,,100
8611832.0,Kepler-384 b,0.685,0.5,0.6,1.0,1.0,1.12,1.46,670.0,,101
8616637.0,Kepler-190 c,0.685,0.5,0.6,1.0,1.0,1.46,2.73,948.0,,102
8628758.0,Kepler-804 c,0.685,0.5,0.6,1.0,1.0,1.14,1.55,890.0,,103
8636600.0,Kepler-1959 b,0.685,0.5,0.6,1.0,1.0,1.14315727,1.57,811.0,,104
8644365.0,Kepler-1485 b,0.685,0.5,0.6,1.0,1.0,1.47,2.76,728.0,,105
8680979.0,Kepler-330 b,0.685,0.5,0.6,1.0,1.0,1.35,2.39,714.0,,106
8681734.0,Kepler-1198 b,0.685,0.5,0.6,1.0,1.0,1.47,2.76,830.0,,107
5003670.0,Kepler-1962 b,0.685,0.5,0.6,1.0,1.0,1.21463929,1.95,901.0,,108
8681833.0,Kepler-1372 b,0.685,0.5,0.6,1.0,1.0,1.27,2.15,1655.0,,109
8685497.0,Kepler-914 b,0.685,0.5,0.6,1.0,1.0,1.38,2.48,1192.0,,110
8700771.0,Kepler-806 b,0.685,0.5,0.6,1.0,1.0,1.14,1.55,1089.0,,111
4932442.0,Kepler-923 b,0.685,0.5,0.6,1.0,1.0,1.38,2.48,1104.0,,112
8733898.0,Kepler-446 b,0.685,0.5,0.6,1.0,1.0,1.5,2.86,648.0,,113
8738775.0,Kepler-1498 b,0.685,0.5,0.6,1.0,1.0,1.33,2.33,564.0,,114
4914566.0,Kepler-1300 b,0.685,0.5,0.6,1.0,1.0,1.37,2.45,954.0,,115
8751796.0,Kepler-1435 b,0.685,0.5,0.6,1.0,1.0,0.86,0.566,1331.0,,116
8753657.0,Kepler-406 c,0.685,0.5,0.6,1.0,1.0,0.85,2.71,1050.0,,117
4857213.0,Kepler-1680 b,0.685,0.5,0.6,1.0,1.0,1.35954736,2.42,771.0,,118
8753896.0,Kepler-389 c,0.685,0.5,0.6,1.0,1.0,1.46,2.73,636.0,,119
8757824.0,Kepler-1275 b,0.685,0.5,0.6,1.0,1.0,1.48,2.79,1368.0,,120
7907423.0,Kepler-249 b,0.685,0.5,0.6,1.0,1.0,1.09,1.32,554.0,,121
7838675.0,Kepler-1561 b,0.685,0.5,0.6,1.0,1.0,1.09,1.32,1682.0,,122
7841925.0,Kepler-865 c,0.685,0.5,0.6,1.0,1.0,0.89,0.64,914.0,,123
5868793.0,Kepler-1582 b,0.685,0.5,0.6,1.0,1.0,1.49,2.83,354.0,,124
5953297.0,Kepler-1688 b,0.685,0.5,0.6,1.0,1.0,1.26174569,2.13,772.0,,125
6685609.0,Kepler-207 c,0.685,0.5,0.6,1.0,1.0,1.5,2.86,1556.0,,126
6690082.0,Kepler-280 b,0.685,0.5,0.6,1.0,1.0,1.45,2.7,1425.0,,127
6716545.0,Kepler-1383 b,0.685,0.5,0.6,1.0,1.0,1.41,2.57,928.0,,128
6752002.0,Kepler-1945 b,0.685,0.5,0.6,1.0,1.0,1.289,2.21,808.0,,129
5905822.0,Kepler-1876 b,0.685,0.5,0.6,1.0,1.0,0.853,2.4,1299.0,,130
5895158.0,Kepler-1532 b,0.685,0.5,0.6,1.0,1.0,1.35,2.39,1681.0,,131
6774537.0,Kepler-1120 b,0.685,0.5,0.6,1.0,1.0,1.38,2.48,1027.0,,132
6842682.0,Kepler-1303 b,0.685,0.5,0.6,1.0,1.0,1.42,2.6,891.0,,133
6850504.0,Kepler-20 e,0.685,0.5,0.6,1.0,1.0,0.821,0.76,1004.0,,134
6871071.0,Kepler-374 b,0.685,0.5,0.6,1.0,1.0,1.03,1.08,1761.0,,135
6879171.0,Kepler-1947 b,0.685,0.5,0.6,1.0,1.0,1.0101666,1.01,1298.0,,136
5866724.0,Kepler-65 b,0.685,0.5,0.6,1.0,1.0,1.42,2.4,1740.0,,137
7090524.0,Kepler-1386 b,0.685,0.5,0.6,1.0,1.0,1.24,2.07,1011.0,,138
5865654.0,Kepler-1423 b,0.685,0.5,0.6,1.0,1.0,1.06,1.2,741.0,,139
6922710.0,Kepler-1088 b,0.685,0.5,0.6,1.0,1.0,1.42,2.6,667.0,,140
6929841.0,Kepler-1414 b,0.685,0.5,0.6,1.0,1.0,1.23,2.04,1033.0,,141
6933567.0,Kepler-1301 b,0.685,0.5,0.6,1.0,1.0,1.4,2.54,734.0,,142
6937402.0,Kepler-1380 b,0.685,0.5,0.6,1.0,1.0,1.43,2.63,786.0,,143
6962977.0,Kepler-292 b,0.685,0.5,0.6,1.0,1.0,1.32,2.3,1130.0,,144
5809890.0,Kepler-755 c,0.685,0.5,0.6,1.0,1.0,1.26,2.13,1016.0,,145
6975129.0,Kepler-312 b,0.685,0.5,0.6,1.0,1.0,1.29,2.21,1685.0,,146
5794570.0,Kepler-1312 c,0.685,0.5,0.6,1.0,1.0,1.02732734,1.07,1659.0,,147
7019524.0,Kepler-1376 b,0.685,0.5,0.6,1.0,1.0,1.05,1.16,1042.0,,148
7033233.0,Kepler-1197 b,0.685,0.5,0.6,1.0,1.0,1.25,2.1,1011.0,,149
7040629.0,Kepler-208 c,0.685,0.5,0.6,1.0,1.0,1.39,2.51,1141.0,,150
6685526.0,Kepler-707 b,0.685,0.5,0.6,1.0,1.0,1.33,2.33,1160.0,,151
5956656.0,Kepler-756 b,0.685,0.5,0.6,1.0,1.0,1.12,1.46,1741.0,,152
6607357.0,Kepler-1365 b,0.685,0.5,0.6,1.0,1.0,0.92,0.721,969.0,,153
6605493.0,Kepler-1686 b,0.685,0.5,0.6,1.0,1.0,1.42553017,2.62,913.0,,154
6124512.0,Kepler-1296 b,0.685,0.5,0.6,1.0,1.0,0.91,0.693,1285.0,,155
6129524.0,Kepler-1379 b,0.685,0.5,0.6,1.0,1.0,1.3,2.24,1564.0,,156
6047072.0,Kepler-1095 b,0.685,0.5,0.6,1.0,1.0,1.21,1.92,1108.0,,157
6183511.0,Kepler-1855 b,0.685,0.5,0.6,1.0,1.0,1.216205,1.96,849.0,,158
6186964.0,Kepler-1366 b,0.685,0.5,0.6,1.0,1.0,1.43,2.63,783.0,,159
6200235.0,Kepler-1205 b,0.685,0.5,0.6,1.0,1.0,1.41,2.57,1667.0,,160
6205897.0,Kepler-1029 b,0.685,0.5,0.6,1.0,1.0,1.26,2.13,790.0,,161
6035124.0,Kepler-1081 b,0.685,0.5,0.6,1.0,1.0,1.01,1.01,972.0,,162
6265665.0,Kepler-1499 b,0.685,0.5,0.6,1.0,1.0,1.19,1.81,409.0,,163
6265792.0,Kepler-1338 b,0.685,0.5,0.6,1.0,1.0,0.92,0.721,2124.0,,164
6269070.0,Kepler-1288 b,0.685,0.5,0.6,1.0,1.0,1.12,1.46,2017.0,,165
6026438.0,Kepler-354 c,0.685,0.5,0.6,1.0,1.0,1.31,2.27,508.0,,166
6272413.0,Kepler-776 b,0.685,0.5,0.6,1.0,1.0,1.28,2.18,904.0,,167
6021275.0,Kepler-132 b,0.685,0.5,0.6,1.0,1.0,1.21,1.92,1082.0,,168
6021193.0,Kepler-363 b,0.685,0.5,0.6,1.0,1.0,1.16,1.65,1347.0,,169
6289257.0,Kepler-520 c,0.685,0.5,0.6,1.0,1.0,1.07,1.24,1107.0,,170
6310636.0,Kepler-929 b,0.685,0.5,0.6,1.0,1.0,1.11,1.41,2362.0,,171
5980208.0,Kepler-1331 b,0.685,0.5,0.6,1.0,1.0,1.05,1.16,1244.0,,172
6345732.0,Kepler-1370 c,0.685,0.5,0.6,1.0,1.0,1.27,2.15,1075.0,,173
6356692.0,Kepler-1888 b,0.685,0.5,0.6,1.0,1.0,1.32578716,2.32,886.0,,174
6362874.0,Kepler-775 b,0.685,0.5,0.6,1.0,1.0,1.19,1.81,1612.0,,175
6382217.0,Kepler-353 b,0.685,0.5,0.6,1.0,1.0,0.89,0.64,534.0,,176
6451936.0,Kepler-173 b,0.685,0.5,0.6,1.0,1.0,1.29,2.21,1179.0,,177
