kepid,pl_name,Score_Habitability,Score_Type,Score_Detection,Score_Radio,ProbeScore,rank,pl_rade,pl_bmasse,pl_eqt,pl_dens,planet_type_rule
5868793.0,Kepler-1582 b,0.6,1.0,0.5,1.0,0.685,124,1.49,2.83,354.0,,Earth-like
5953297.0,Kepler-1688 b,0.6,1.0,0.5,1.0,0.685,125,1.26174569,2.13,772.0,,Earth-like
6685609.0,Kepler-207 c,0.6,1.0,0.5,1.0,0.685,126,1.5,2.86,1556.0,,Earth-like
6690082.0,Kepler-280 b,0.6,1.0,0.5,1.0,0.685,127,1.45,2.7,1425.0,,Earth-like
6716545.0,Kepler-1383 b,0.6,1.0,0.5,1.0,0.685,128,1.41,2.57,928.0,,Earth-like
6752002.0,Kepler-1945 b,0.6,1.0,0.5,1.0,0.685,129,1.289,2.21,808.0,,Earth-like
5905822.0,Kepler-1876 b,0.6,1.0,0.5,1.0,0.685,130,0.853,2.4,1299.0,,Earth-like
5895158.0,Kepler-1532 b,0.6,1.0,0.5,1.0,0.685,131,1.35,2.39,1681.0,,Earth-like
6774537.0,Kepler-1120 b,0.6,1.0,0.5,1.0,0.685,132,1.38,2.48,1027.0,,Earth-like
6842682.0,Kepler-1303 b,0.6,1.0,0.5,1.0,0.685,133,1.42,2.6,891.0,,Earth-like
6850504.0,Kepler-20 e,0.6,1.0,0.5,1.0,0.685,134,0.821,0.76,1004.0,,Earth-like
6871071.0,Kepler-374 b,0.6,1.0,0.5,1.0,0.685,135,1.03,1.08,1761.0,,Earth-like
6879171.0,Kepler-1947 b,0.6,1.0,0.5,1.0,0.685,136,1.0101666,1.01,1298.0,,Earth-like
5866724.0,Kepler-65 b,0.6,1.0,0.5,1.0,0.685,137,1.42,2.4,1740.0,,Earth-like
7090524.0,Kepler-1386 b,0.6,1.0,0.5,1.0,0.685,138,1.24,2.07,1011.0,,Earth-like
5865654.0,Kepler-1423 b,0.6,1.0,0.5,1.0,0.685,139,1.06,1.2,741.0,,Earth-like
6922710.0,Kepler-1088 b,0.6,1.0,0.5,1.0,0.685,140,1.42,2.6,667.0,,Earth-like
6929841.0,Kepler-1414 b,0.6,1.0,0.5,1.0,0.685,141,1.23,2.04,1033.0,,Earth-like
6933567.0,Kepler-1301 b,0.6,1.0,0.5,1.0,0.685,142,1.4,2.54,734.0,,Earth-like
6937402.0,Kepler-1380 b,0.6,1.0,0.5,1.0,0.685,143,1.43,2.63,786.0,,Earth-like
6962977.0,Kepler-292 b,0.6,1.0,0.5,1.0,0.685,144,1.32,2.3,1130.0,,Earth-like
5809890.0,Kepler-755 c,0.6,1.0,0.5,1.0,0.685,145,1.26,2.13,1016.0,,Earth-like
6975129.0,Kepler-312 b,0.6,1.0,0.5,1.0,0.685,146,1.29,2.21,1685.0,,Earth-like
5794570.0,Kepler-1312 c,0.6,1.0,0.5,1.0,0.685,147,1.02732734,1.07,1659.0,,Earth-like
7019524.0,Kepler-1376 b,0.6,1.0,0.5,1.0,0.685,148,1.05,1.16,1042.0,,Earth-like
7033233.0,Kepler-1197 b,0.6,1.0,0.5,1.0,0.685,149,1.25,2.1,1011.0,,Earth-like
7040629.0,Kepler-208 c,0.6,1.0,0.5,1.0,0.685,150,1.39,2.51,1141.0,,Earth-like
6685526.0,Kepler-707 b,0.6,1.0,0.5,1.0,0.685,151,1.33,2.33,1160.0,,Earth-like
5956656.0,Kepler-756 b,0.6,1.0,0.5,1.0,0.685,152,1.12,1.46,1741.0,,Earth-like
6607357.0,Kepler-1365 b,0.6,1.0,0.5,1.0,0.685,153,0.92,0.721,969.0,,Earth-like
6605493.0,Kepler-1686 b,0.6,1.0,0.5,1.0,0.685,154,1.42553017,2.62,913.0,,Earth-like
6124512.0,Kepler-1296 b,0.6,1.0,0.5,1.0,0.685,155,0.91,0.693,1285.0,,Earth-like
6129524.0,Kepler-1379 b,0.6,1.0,0.5,1.0,0.685,156,1.3,2.24,1564.0,,Earth-like
6047072.0,Kepler-1095 b,0.6,1.0,0.5,1.0,0.685,157,1.21,1.92,1108.0,,Earth-like
6183511.0,Kepler-1855 b,0.6,1.0,0.5,1.0,0.685,158,1.216205,1.96,849.0,,Earth-like
6186964.0,Kepler-1366 b,0.6,1.0,0.5,1.0,0.685,159,1.43,2.63,783.0,,Earth-like
6200235.0,Kepler-1205 b,0.6,1.0,0.5,1.0,0.685,160,1.41,2.57,1667.0,,Earth-like
6205897.0,Kepler-1029 b,0.6,1.0,0.5,1.0,0.685,161,1.26,2.13,790.0,,Earth-like
6035124.0,Kepler-1081 b,0.6,1.0,0.5,1.0,0.685,162,1.01,1.01,972.0,,Earth-like
6265665.0,Kepler-1499 b,0.6,1.0,0.5,1.0,0.685,163,1.19,1.81,409.0,,Earth-like
6265792.0,Kepler-1338 b,0.6,1.0,0.5,1.0,0.685,164,0.92,0.721,2124.0,,Earth-like
6269070.0,Kepler-1288 b,0.6,1.0,0.5,1.0,0.685,165,1.12,1.46,2017.0,,Earth-like
6026438.0,Kepler-354 c,0.6,1.0,0.5,1.0,0.685,166,1.31,2.27,508.0,,Earth-like
6272413.0,Kepler-776 b,0.6,1.0,0.5,1.0,0.685,167,1.28,2.18,904.0,,Earth-like
6021275.0,Kepler-132 b,0.6,1.0,0.5,1.0,0.685,168,1.21,1.92,1082.0,,Earth-like
6021193.0,Kepler-363 b,0.6,1.0,0.5,1.0,0.685,169,1.16,1.65,1347.0,,Earth-like
6289257.0,Kepler-520 c,0.6,1.0,0.5,1.0,0.685,170,1.07,1.24,1107.0,,Earth-like
6310636.0,Kepler-929 b,0.6,1.0,0.5,1.0,0.685,171,1.11,1.41,2362.0,,Earth-like
5980208.0,Kepler-1331 b,0.6,1.0,0.5,1.0,0.685,172,1.05,1.16,1244.0,,Earth-like
6345732.0,Kepler-1370 c,0.6,1.0,0.5,1.0,0.685,173,1.27,2.15,1075.0,,Earth-like
6356692.0,Kepler-1888 b,0.6,1.0,0.5,1.0,0.685,174,1.32578716,2.32,886.0,,Earth-like
6362874.0,Kepler-775 b,0.6,1.0,0.5,1.0,0.685,175,1.19,1.81,1612.0,,Earth-like
6382217.0,Kepler-353 b,0.6,1.0,0.5,1.0,0.685,176,0.89,0.64,534.0,,Earth-like
6451936.0,Kepler-173 b,0.6,1.0,0.5,1.0,0.685,177,1.29,2.21,1179.0,,Earth-like
5965819.0,Kepler-1468 c,0.6,1.0,0.5,1.0,0.685,178,1.15,1.6,1448.0,,Earth-like
6586746.0,Kepler-1335 b,0.6,1.0,0.5,1.0,0.685,179,1.45,2.7,809.0,,Earth-like
7046035.0,Kepler-1603 b,0.6,1.0,0.5,1.0,0.685,180,1.29,2.21,1522.0,,Earth-like
5780930.0,Kepler-1492 b,0.6,1.0,0.5,1.0,0.685,181,1.49,2.83,801.0,,Earth-like
9221517.0,Kepler-1173 b,0.6,1.0,0.5,1.0,0.685,182,0.89,0.64,1650.0,,Earth-like
7673192.0,Kepler-402 b,0.6,1.0,0.5,1.0,0.685,183,1.22,1.98,1311.0,,Earth-like
7515212.0,Kepler-212 b,0.6,1.0,0.5,1.0,0.685,184,1.09,1.32,830.0,,Earth-like
7534267.0,Kepler-1441 b,0.6,1.0,0.5,1.0,0.685,185,1.31,2.27,682.0,,Earth-like
7582689.0,Kepler-431 d,0.6,1.0,0.5,1.0,0.685,186,1.11,1.41,856.0,,Earth-like
7595157.0,Kepler-605 b,0.6,1.0,0.5,1.0,0.685,187,1.44,2.67,1133.0,,Earth-like
7604328.0,Kepler-1245 b,0.6,1.0,0.5,1.0,0.685,188,1.44,2.67,1043.0,,Earth-like
7610663.0,Kepler-1560 b,0.6,1.0,0.5,1.0,0.685,189,0.89,0.64,1269.0,,Earth-like
7620413.0,Kepler-1098 b,0.6,1.0,0.5,1.0,0.685,190,1.3,2.24,1319.0,,Earth-like
5542466.0,Kepler-1756 b,0.6,1.0,0.5,1.0,0.685,191,1.47199944,2.77,1093.0,,Earth-like
7626370.0,Kepler-932 b,0.6,1.0,0.5,1.0,0.685,192,1.37,2.45,1276.0,,Earth-like
7663405.0,Kepler-876 b,0.6,1.0,0.5,1.0,0.685,193,1.43,2.63,923.0,,Earth-like
7668663.0,Kepler-1005 b,0.6,1.0,0.5,1.0,0.685,194,1.5,2.86,1026.0,,Earth-like
5531576.0,Kepler-240 b,0.6,1.0,0.5,1.0,0.685,195,1.37,2.45,864.0,,Earth-like
7673841.0,Kepler-392 b,0.6,1.0,0.5,1.0,0.685,196,1.0,0.972,1125.0,,Earth-like
7100673.0,Kepler-1542 d,0.6,1.0,0.5,1.0,0.685,197,0.87,0.59,1010.0,,Earth-like
7676423.0,Kepler-1430 b,0.6,1.0,0.5,1.0,0.685,198,1.18,1.76,969.0,,Earth-like
7678434.0,Kepler-716 c,0.6,1.0,0.5,1.0,0.685,199,1.39281536,2.52,992.0,,Earth-like
7691260.0,Kepler-882 b,0.6,1.0,0.5,1.0,0.685,200,1.23,2.04,903.0,,Earth-like
7742408.0,Kepler-1697 b,0.6,1.0,0.5,1.0,0.685,201,1.25954761,2.12,630.0,,Earth-like
7747425.0,Kepler-341 b,0.6,1.0,0.5,1.0,0.685,202,1.18,1.76,1085.0,,Earth-like
7749773.0,Kepler-1882 b,0.6,1.0,0.5,1.0,0.685,203,1.48674404,2.81,894.0,,Earth-like
7762723.0,Kepler-1867 b,0.6,1.0,0.5,1.0,0.685,204,1.15985997,1.65,768.0,,Earth-like
7802719.0,Kepler-1157 b,0.6,1.0,0.5,1.0,0.685,205,1.09,1.32,732.0,,Earth-like
5450893.0,Kepler-1890 b,0.6,1.0,0.5,1.0,0.685,206,0.86867375,0.587,1328.0,,Earth-like
5445681.0,Kepler-1417 b,0.6,1.0,0.5,1.0,0.685,207,1.0,0.972,695.0,,Earth-like
7826620.0,Kepler-1579 b,0.6,1.0,0.5,1.0,0.685,208,0.84,0.52,1139.0,,Earth-like
5440317.0,Kepler-1438 b,0.6,1.0,0.5,1.0,0.685,209,0.94,0.779,1490.0,,Earth-like
7509886.0,Kepler-211 b,0.6,1.0,0.5,1.0,0.685,210,1.26,2.13,954.0,,Earth-like
5617854.0,Kepler-901 b,0.6,1.0,0.5,1.0,0.685,211,1.37,2.45,704.0,,Earth-like
7457296.0,Kepler-1145 b,0.6,1.0,0.5,1.0,0.685,212,1.4,2.54,958.0,,Earth-like
7455981.0,Kepler-1425 b,0.6,1.0,0.5,1.0,0.685,213,0.94,0.779,676.0,,Earth-like
7102227.0,Kepler-290 d,0.6,1.0,0.5,1.0,0.685,214,0.86,0.566,1589.0,,Earth-like
7107802.0,Kepler-1231 b,0.6,1.0,0.5,1.0,0.685,215,1.42,2.6,870.0,,Earth-like
7120108.0,Kepler-1825 b,0.6,1.0,0.5,1.0,0.685,216,1.42200732,2.61,1520.0,,Earth-like
7133294.0,Kepler-1607 b,0.6,1.0,0.5,1.0,0.685,217,0.92,0.721,913.0,,Earth-like
7134976.0,Kepler-246 c,0.6,1.0,0.5,1.0,0.685,218,1.5,2.86,667.0,,Earth-like
7175184.0,Kepler-144 b,0.6,1.0,0.5,1.0,0.685,219,1.33,2.33,1253.0,,Earth-like
7211221.0,Kepler-831 b,0.6,1.0,0.5,1.0,0.685,220,1.27,2.15,992.0,,Earth-like
7216284.0,Kepler-1420 b,0.6,1.0,0.5,1.0,0.685,221,1.28,2.18,806.0,,Earth-like
7219825.0,Kepler-123 c,0.6,1.0,0.5,1.0,0.685,222,1.48,2.79,706.0,,Earth-like
5706966.0,Kepler-333 c,0.6,1.0,0.5,1.0,0.685,223,1.11,1.41,386.0,,Earth-like
7220429.0,Kepler-931 b,0.6,1.0,0.5,1.0,0.685,224,1.33,2.33,744.0,,Earth-like
7259298.0,Kepler-1278 b,0.6,1.0,0.5,1.0,0.685,225,1.01,1.01,1213.0,,Earth-like
7269493.0,Kepler-1027 b,0.6,1.0,0.5,1.0,0.685,226,0.89,0.64,1268.0,,Earth-like
7287995.0,Kepler-81 d,0.6,1.0,0.5,1.0,0.685,227,1.21,1.92,418.0,,Earth-like
