kepid,pl_name,Score_Detection,Score_Habitability,Score_Type,Score_Radio,Priority__default,Priority__comms_heavy
8611832.0,Kepler-384 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8616637.0,Kepler-190 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8628758.0,Kepler-804 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8636600.0,Kepler-1959 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8644365.0,Kepler-1485 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8680979.0,Kepler-330 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8681734.0,Kepler-1198 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5003670.0,Kepler-1962 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8681833.0,Kepler-1372 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8685497.0,Kepler-914 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8700771.0,Kepler-806 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4932442.0,Kepler-923 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8733898.0,Kepler-446 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8738775.0,Kepler-1498 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4914566.0,Kepler-1300 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8751796.0,Kepler-1435 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8753657.0,Kepler-406 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
4857213.0,Kepler-1680 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8753896.0,Kepler-389 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
8757824.0,Kepler-1275 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7907423.0,Kepler-249 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7838675.0,Kepler-1561 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7841925.0,Kepler-865 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5868793.0,Kepler-1582 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5953297.0,Kepler-1688 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6685609.0,Kepler-207 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6690082.0,Kepler-280 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6716545.0,Kepler-1383 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6752002.0,Kepler-1945 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5905822.0,Kepler-1876 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5895158.0,Kepler-1532 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6774537.0,Kepler-1120 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6842682.0,Kepler-1303 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6850504.0,Kepler-20 e,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6871071.0,Kepler-374 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6879171.0,Kepler-1947 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5866724.0,Kepler-65 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7090524.0,Kepler-1386 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5865654.0,Kepler-1423 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6922710.0,Kepler-1088 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6929841.0,Kepler-1414 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6933567.0,Kepler-1301 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6937402.0,Kepler-1380 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6962977.0,Kepler-292 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5809890.0,Kepler-755 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6975129.0,Kepler-312 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5794570.0,Kepler-1312 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7019524.0,Kepler-1376 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7033233.0,Kepler-1197 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
7040629.0,Kepler-208 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6685526.0,Kepler-707 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5956656.0,Kepler-756 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6607357.0,Kepler-1365 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6605493.0,Kepler-1686 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6124512.0,Kepler-1296 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6129524.0,Kepler-1379 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6047072.0,Kepler-1095 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6183511.0,Kepler-1855 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6186964.0,Kepler-1366 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6200235.0,Kepler-1205 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6205897.0,Kepler-1029 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6035124.0,Kepler-1081 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6265665.0,Kepler-1499 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6265792.0,Kepler-1338 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6269070.0,Kepler-1288 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6026438.0,Kepler-354 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6272413.0,Kepler-776 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6021275.0,Kepler-132 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6021193.0,Kepler-363 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6289257.0,Kepler-520 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
6310636.0,Kepler-929 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
5980208.0,Kepler-1331 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
