kepid,kepoi_name,fpp_prob,fpp_score,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,pp_host_rel_prob,pp_host_prob_score,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,fpp_fp_components_sum,radio_silence_risk,Radio_Silent,risk_threshold_0p75
3641726,K00804.01,2.4e-05,1.0,2.7e-09,8.3e-08,2.4e-05,1.2e-09,6.999999999999999e-15,1.8e-08,0.029,5295.0,0.7,1.0,0.7,9.3e-12,0.2975,2.4104900007e-05,0.3321804004482261,0,0.6606315896878756
3734868,K00805.01,0.00018,1.0,0.00016,3.6e-31,1.7e-05,4.1e-22,1.3e-44,1.1999999999999999e-39,0.119,5374.0,1.0,1.0,1.0,0.0,9.073e-07,0.00017700000000000002,0.33173417073423667,0,0.6606315896878756
3832474,K00806.01,0.02,1.0,0.019,2.1e-07,0.00062,1.3e-06,6.7e-07,1.7e-11,0.094,5468.0,1.0,1.0,1.0,0.0,1.141e-06,0.019622180016999998,0.338254091163575,0,0.6606315896878756
3832474,K00806.02,0.0055,1.0,0.0055,8.1e-06,3.7e-05,2e-10,1.1e-08,1.2999999999999998e-14,0.129,5465.0,1.0,1.0,1.0,0.0,6.029e-07,0.005545111200012999,0.3334990596403233,0,0.6606315896878756
3836375,K00807.01,1.0,1.0,5.6e-11,7e-07,0.11,4e-05,0.0029,0.89,0.257,5615.0,0.0,1.0,0.0,0.0,0.1876,1.002940700056,0.663257327264215,1,0.6606315896878756
3838486,K00808.01,1.0,0.0,0.0,0.0,4.4000000000000005e-152,6.3e-78,6.1e-110,9.6e-06,0.021,4598.0,0.0,1.0,0.0,0.0,1.0,9.6e-06,0.6622899644805788,1,0.6606315896878756
3935914,K00809.01,0.00016,1.0,0.00016,9.100000000000001e-18,1.4e-09,6.9e-10,3.9000000000000005e-13,6.8e-23,0.116,5607.0,1.0,1.0,1.0,0.0,5.8e-07,0.0001600020903900091,0.33172759228926135,0,0.6606315896878756
3940418,K00810.01,0.037,1.0,4.4e-06,0.023,0.013,0.00013,6.6e-05,5.1e-06,0.028,5447.0,1.0,1.0,1.0,0.0,2.846e-06,0.036205499999999995,0.3438463538930782,0,0.6606315896878756
4049131,K00811.01,0.00012,1.0,1.2e-07,4.2e-06,0.00012,1.6e-09,3.8999999999999995e-15,8.5e-09,0.041,4834.0,1.0,1.0,1.0,0.0,2.726e-06,0.00012433010000390001,0.33171585775147766,0,0.6606315896878756
9097120,K00927.01,0.99,1.0,0.072,0.92,0.0011,0.0001,0.0015,9.4e-06,0.437,5796.0,1.1e-13,1.0,1.1e-13,0.0,1.0,0.9947094,0.6605495865278309,0,0.6606315896878756
9140402,K00928.01,0.00086,1.0,4.8e-05,0.00073,1.2e-07,4.8e-05,3e-05,2.5e-08,0.027,5520.0,1.0,1.0,1.0,0.0,3.243e-06,0.0008561449999999999,0.3319578612434168,0,0.6606315896878756
9141746,K00929.01,0.00068,1.0,0.00068,2.3e-15,8.1e-08,1.3e-12,3.9e-18,1.5e-17,0.08,5731.0,1.0,1.0,1.0,6.6e-102,5.539e-07,0.000680081001302319,0.3318986756957258,0,0.6606315896878756
